id,edad,genero,pais,tipo_habitacion,precio_por_noche,tipo_tarjeta,noches,todo_incluido,mantenimiento_por_noche
476,51,mujer,México,cuadruple,,Amex,4,si,20€
477,72,hombre,Italia,cuadruple,150€,Amex,6,no,15€
478,21,hombre,Colombia,cuadruple,,MasterCard,9,si,20€
479,70,mujer,Chile,triple,150€,otra,2,no,5€
480,38,hombre,México,triple,120€,Amex,7,si,20€
481,31,hombre,Argentina,individual,90€,Amex,6,si,5€
482,87,hombre,Chile,individual,,Visa,9,no,20€
483,20,mujer,Argentina,triple,200€,otra,10,no,15€
484,20,mujer,Chile,triple,120€,MasterCard,8,si,5€
485,30,hombre,Francia,individual,50€,Visa,10,no,10€
486,46,hombre,Argentina,cuadruple,150€,Amex,5,si,5€
487,90,hombre,México,doble,70€,otra,10,no,10€
488,18,mujer,Argentina,doble,90€,MasterCard,7,no,10€
489,37,hombre,Alemania,triple,,Visa,3,si,
490,32,hombre,Chile,triple,50€,Amex,1,si,20€
491,59,hombre,EEUU,triple,90€,Visa,2,no,
492,63,mujer,EEUU,triple,,MasterCard,4,no,
493,29,hombre,España,cuadruple,200€,Visa,1,no,20€
494,78,hombre,España,triple,150€,Visa,6,si,5€
495,40,mujer,Argentina,triple,120€,MasterCard,9,no,10€
496,51,mujer,Argentina,individual,120€,Visa,10,si,5€
497,34,hombre,Colombia,cuadruple,,MasterCard,5,no,
498,87,mujer,Argentina,doble,120€,Amex,6,no,5€
499,81,mujer,Chile,triple,200€,Amex,2,si,
500,48,hombre,EEUU,cuadruple,90€,Amex,3,no,15€
501,23,hombre,Italia,doble,120€,otra,6,si,10€
502,56,hombre,EEUU,individual,200€,Amex,8,no,
503,18,mujer,Chile,cuadruple,,otra,10,no,20€
504,24,mujer,Francia,individual,70€,otra,6,no,20€
505,48,mujer,Argentina,triple,50€,otra,8,si,10€
506,86,hombre,EEUU,individual,,Visa,4,no,5€
507,48,mujer,Italia,cuadruple,,Amex,2,si,20€
508,55,mujer,Chile,individual,,MasterCard,4,si,10€
509,50,mujer,Francia,cuadruple,50€,otra,10,si,5€
510,59,hombre,Argentina,triple,70€,Visa,2,no,
511,29,mujer,Italia,doble,200€,otra,9,no,20€
512,70,hombre,España,individual,70€,Visa,10,no,5€
513,38,mujer,Colombia,triple,70€,Visa,8,no,5€
514,82,mujer,Colombia,individual,120€,Amex,2,no,20€
515,41,mujer,Colombia,doble,70€,otra,2,no,20€
516,80,mujer,Argentina,doble,150€,otra,7,no,15€
517,65,mujer,España,cuadruple,70€,Amex,1,si,15€
518,25,mujer,Argentina,individual,90€,MasterCard,6,no,15€
519,65,mujer,Colombia,triple,120€,Amex,6,no,20€
520,27,hombre,Italia,cuadruple,50€,Visa,3,si,20€
521,19,hombre,EEUU,doble,,Amex,9,si,20€
522,34,hombre,México,doble,50€,Visa,7,no,20€
523,90,hombre,Chile,triple,70€,otra,2,si,
524,90,mujer,Alemania,triple,70€,otra,7,no,5€
525,74,mujer,Francia,individual,90€,Amex,9,si,20€
526,41,hombre,Francia,triple,50€,otra,4,si,5€
527,26,hombre,Colombia,individual,150€,Amex,9,si,
528,66,mujer,México,individual,200€,Visa,6,si,
529,70,hombre,Alemania,individual,70€,Amex,3,no,15€
530,86,hombre,Alemania,individual,120€,MasterCard,2,no,5€
531,44,mujer,Francia,doble,50€,Visa,2,si,20€
532,19,hombre,España,individual,200€,otra,9,si,10€
533,30,hombre,Italia,doble,70€,MasterCard,8,si,
534,39,mujer,Francia,cuadruple,50€,Amex,7,no,15€
535,46,mujer,Francia,doble,50€,otra,7,no,20€
536,88,mujer,Colombia,triple,,MasterCard,10,si,5€
537,89,mujer,Italia,cuadruple,90€,MasterCard,10,si,5€
538,70,mujer,Alemania,doble,90€,Visa,8,no,15€
539,84,hombre,Argentina,individual,90€,MasterCard,1,si,5€
540,46,mujer,Chile,doble,90€,Amex,6,si,5€
541,31,mujer,Italia,cuadruple,90€,otra,9,no,15€
542,30,hombre,EEUU,cuadruple,50€,Amex,6,si,5€
543,54,hombre,España,individual,150€,MasterCard,10,no,20€
544,58,mujer,Italia,individual,90€,otra,5,no,20€
545,81,mujer,Alemania,cuadruple,150€,otra,10,si,
546,81,mujer,México,individual,90€,otra,3,no,15€
547,65,mujer,Argentina,doble,120€,Visa,9,si,20€
548,74,hombre,EEUU,triple,,Amex,8,no,15€
549,76,hombre,Argentina,individual,150€,Amex,6,si,
550,56,hombre,EEUU,cuadruple,120€,otra,9,si,20€
551,30,hombre,España,doble,50€,MasterCard,9,si,10€
552,31,mujer,Chile,triple,70€,otra,2,si,10€
553,31,hombre,Francia,doble,70€,Visa,9,si,15€
554,35,mujer,Argentina,individual,200€,otra,6,no,5€
555,74,hombre,Italia,individual,120€,Visa,7,no,15€
556,46,hombre,Argentina,cuadruple,120€,otra,5,si,20€
557,67,hombre,Colombia,triple,200€,MasterCard,9,no,5€
558,80,hombre,Francia,cuadruple,200€,MasterCard,1,si,20€
559,30,hombre,Italia,individual,150€,Amex,7,si,20€
560,42,mujer,Chile,doble,120€,Amex,8,si,20€
561,86,hombre,Francia,individual,150€,MasterCard,7,no,
562,33,mujer,EEUU,triple,120€,Visa,1,no,15€
563,54,hombre,Chile,cuadruple,,Amex,8,si,
564,82,hombre,Francia,doble,200€,Visa,7,no,
565,23,hombre,Francia,individual,150€,otra,9,no,
566,75,mujer,Chile,cuadruple,,otra,7,si,
567,40,hombre,Italia,triple,120€,Amex,2,si,20€
568,65,hombre,EEUU,cuadruple,50€,Visa,5,no,10€
569,87,mujer,Francia,cuadruple,120€,Visa,3,si,5€
570,19,hombre,México,individual,90€,MasterCard,9,no,20€
571,31,mujer,Colombia,triple,70€,MasterCard,9,si,15€
572,63,hombre,Alemania,doble,120€,Amex,9,no,
573,24,mujer,Argentina,individual,200€,Amex,9,si,20€
574,65,hombre,Colombia,doble,,Amex,3,si,15€
575,65,hombre,Argentina,individual,120€,MasterCard,10,no,5€
576,43,hombre,Argentina,triple,120€,otra,2,no,5€
577,74,mujer,Argentina,cuadruple,150€,otra,3,no,15€
578,32,mujer,España,triple,200€,otra,10,no,15€
579,32,hombre,Italia,triple,90€,MasterCard,8,no,10€
580,32,hombre,EEUU,individual,200€,Amex,6,si,15€
581,78,hombre,EEUU,individual,50€,Visa,3,si,15€
582,72,hombre,EEUU,triple,50€,otra,9,si,
583,67,mujer,EEUU,doble,70€,Visa,4,si,15€
584,80,mujer,México,individual,70€,MasterCard,3,si,20€
585,60,mujer,Chile,cuadruple,70€,Amex,5,no,15€
586,41,mujer,Chile,cuadruple,150€,Visa,10,no,15€
587,81,mujer,Alemania,triple,150€,otra,2,no,5€
588,60,hombre,Argentina,triple,50€,Amex,4,no,5€
589,86,mujer,España,individual,120€,Amex,1,si,20€
590,85,mujer,Colombia,individual,120€,Visa,9,no,10€
591,41,mujer,España,doble,90€,Visa,6,no,15€
592,60,hombre,EEUU,cuadruple,,MasterCard,2,si,15€
593,64,mujer,Argentina,individual,200€,Amex,4,no,
594,29,mujer,Alemania,triple,200€,MasterCard,8,si,20€
595,65,mujer,Francia,cuadruple,70€,otra,1,no,
596,28,hombre,México,doble,200€,otra,9,si,
597,32,mujer,Colombia,cuadruple,150€,Amex,6,si,20€
598,42,mujer,Italia,triple,50€,MasterCard,2,si,15€
599,80,hombre,Chile,cuadruple,,Visa,8,si,10€
600,19,mujer,EEUU,individual,,Visa,9,si,15€
601,66,mujer,Alemania,individual,150€,otra,9,no,
602,52,hombre,Italia,triple,200€,Visa,7,no,20€
603,23,mujer,Alemania,doble,,MasterCard,10,no,10€
604,31,mujer,Colombia,triple,50€,Amex,10,si,5€
605,60,hombre,EEUU,doble,70€,otra,6,no,
606,65,mujer,Colombia,triple,150€,otra,7,no,5€
607,75,mujer,Italia,individual,150€,otra,8,si,10€
608,30,mujer,España,individual,,Visa,1,si,15€
609,47,mujer,Alemania,cuadruple,200€,Visa,3,no,5€
610,41,mujer,Italia,individual,50€,Visa,1,si,10€
611,80,hombre,México,triple,200€,Amex,10,si,15€
612,84,mujer,EEUU,individual,70€,Visa,9,si,15€
613,74,hombre,Argentina,individual,70€,otra,9,si,15€
614,84,mujer,Chile,triple,200€,otra,5,si,
615,73,mujer,España,individual,200€,Amex,7,si,10€
616,71,hombre,México,individual,,Visa,9,si,20€
617,69,mujer,Alemania,individual,50€,Visa,9,si,5€
618,33,mujer,México,doble,120€,Visa,4,no,5€
619,33,hombre,México,doble,90€,MasterCard,3,no,20€
620,77,hombre,México,doble,200€,otra,9,si,15€
621,32,mujer,Chile,triple,50€,MasterCard,8,si,10€
622,20,mujer,Francia,individual,150€,otra,3,no,5€
623,54,mujer,Chile,individual,90€,MasterCard,9,si,20€
624,43,mujer,Francia,individual,,Visa,2,no,5€
625,38,hombre,Argentina,individual,90€,Visa,10,no,
626,36,mujer,Colombia,cuadruple,50€,Amex,1,si,
627,63,hombre,Alemania,individual,70€,Amex,10,no,10€
628,21,mujer,Colombia,individual,120€,MasterCard,9,no,5€
629,30,mujer,EEUU,cuadruple,,Amex,10,no,
630,63,mujer,EEUU,individual,120€,Amex,5,si,15€
631,86,hombre,Alemania,cuadruple,70€,Visa,10,si,15€
632,82,mujer,EEUU,triple,200€,Amex,2,no,
633,40,hombre,EEUU,individual,150€,otra,2,si,20€
634,90,hombre,Italia,individual,120€,Visa,9,si,
635,18,hombre,Colombia,individual,70€,otra,6,si,15€
636,40,mujer,Alemania,triple,70€,otra,5,si,
637,78,mujer,EEUU,triple,200€,Amex,5,no,5€
638,80,mujer,Chile,doble,150€,Visa,1,no,10€
639,65,hombre,España,doble,90€,otra,4,no,20€
640,27,hombre,Chile,doble,150€,Amex,9,si,20€
641,64,mujer,España,doble,50€,Amex,8,no,
642,27,hombre,EEUU,cuadruple,90€,Visa,10,si,15€
643,24,mujer,Colombia,doble,200€,MasterCard,1,si,5€
644,29,mujer,Alemania,cuadruple,50€,MasterCard,8,no,
645,62,mujer,Italia,individual,150€,otra,4,no,15€
646,22,hombre,EEUU,cuadruple,200€,otra,5,no,15€
647,41,hombre,Argentina,individual,90€,otra,10,si,20€
648,77,mujer,Alemania,triple,120€,Visa,10,si,5€
649,58,hombre,Alemania,individual,150€,Visa,8,si,
650,30,hombre,México,cuadruple,200€,Visa,6,si,5€
651,88,hombre,Chile,cuadruple,150€,otra,6,no,20€
652,66,mujer,España,cuadruple,70€,MasterCard,7,no,10€
653,65,hombre,Alemania,individual,,otra,7,no,
654,18,mujer,Alemania,individual,70€,Visa,5,no,20€
655,51,hombre,Argentina,doble,,Amex,5,no,5€
656,21,hombre,España,triple,70€,Amex,3,si,
657,50,mujer,EEUU,triple,,Visa,9,no,20€
658,45,hombre,Italia,doble,200€,Amex,3,si,20€
659,49,mujer,Colombia,triple,200€,Visa,6,si,15€
660,61,mujer,Colombia,doble,200€,otra,5,si,
661,29,hombre,Argentina,triple,,MasterCard,3,no,
662,41,hombre,Colombia,cuadruple,50€,otra,4,no,10€
663,80,mujer,Italia,doble,150€,Visa,2,si,5€
664,25,mujer,Francia,individual,,Visa,9,si,5€
665,39,hombre,Chile,individual,120€,otra,3,no,10€
666,51,mujer,Colombia,individual,120€,MasterCard,3,si,
667,80,mujer,Chile,doble,70€,MasterCard,8,si,10€
668,85,hombre,Colombia,individual,200€,otra,7,si,20€
669,63,mujer,Francia,individual,150€,Visa,8,si,5€
670,73,mujer,México,triple,,Amex,1,no,5€
671,49,mujer,España,cuadruple,50€,Amex,9,si,15€
672,81,mujer,Colombia,individual,70€,Amex,4,no,5€
673,82,mujer,Alemania,triple,150€,Visa,5,no,15€
674,47,mujer,Chile,cuadruple,200€,MasterCard,2,si,20€
675,82,hombre,México,individual,120€,MasterCard,1,no,5€
676,78,mujer,Italia,individual,70€,Visa,2,si,15€
677,42,mujer,Chile,cuadruple,120€,Visa,3,no,15€
678,76,mujer,EEUU,cuadruple,,Visa,7,no,5€
679,66,mujer,EEUU,individual,,MasterCard,5,no,5€
680,60,hombre,Francia,doble,120€,otra,6,si,5€
681,88,mujer,Italia,cuadruple,90€,Visa,2,si,15€
682,49,mujer,Chile,doble,90€,MasterCard,2,no,10€
683,54,hombre,Chile,triple,50€,Visa,5,no,15€
684,28,hombre,España,individual,70€,MasterCard,8,no,10€
685,56,hombre,Chile,triple,50€,MasterCard,5,no,20€
686,26,mujer,Alemania,doble,,otra,1,si,5€
687,64,mujer,Argentina,cuadruple,150€,MasterCard,8,no,
688,30,mujer,Alemania,individual,,otra,1,si,20€
689,27,hombre,Argentina,doble,90€,MasterCard,2,si,5€
690,75,mujer,Italia,triple,120€,Amex,10,no,20€
691,41,hombre,Argentina,doble,90€,otra,9,no,15€
692,30,mujer,Colombia,individual,70€,MasterCard,10,si,15€
693,72,mujer,España,cuadruple,70€,otra,7,no,20€
694,81,hombre,EEUU,individual,50€,Amex,8,si,5€
695,49,hombre,Colombia,individual,50€,Amex,7,si,
696,41,hombre,Argentina,individual,200€,Visa,7,si,5€
697,30,hombre,Chile,individual,150€,otra,1,si,15€
698,86,hombre,Alemania,individual,90€,MasterCard,9,no,15€
699,32,hombre,EEUU,triple,,Visa,4,no,15€
700,66,hombre,España,doble,120€,Amex,5,no,20€
701,37,mujer,Colombia,doble,,Amex,2,si,10€
702,58,mujer,España,cuadruple,90€,otra,1,no,10€
703,80,mujer,Colombia,triple,150€,otra,2,no,10€
704,42,hombre,España,cuadruple,120€,Amex,9,si,20€
705,38,mujer,Colombia,doble,200€,Visa,2,no,5€
706,51,mujer,Alemania,cuadruple,90€,otra,2,no,10€
707,67,mujer,Chile,individual,70€,MasterCard,6,si,15€
708,46,mujer,EEUU,cuadruple,200€,Amex,10,si,10€
709,40,mujer,EEUU,doble,200€,otra,4,si,
710,41,mujer,Colombia,cuadruple,90€,MasterCard,5,no,
711,77,hombre,Chile,individual,200€,Visa,7,si,20€
712,89,mujer,Chile,individual,200€,MasterCard,4,si,20€
713,44,hombre,Colombia,doble,70€,Amex,4,si,5€
714,75,mujer,Francia,triple,50€,Amex,10,si,5€
715,56,hombre,EEUU,cuadruple,70€,otra,2,si,15€
716,35,hombre,Colombia,doble,70€,MasterCard,8,no,20€
717,19,mujer,Italia,cuadruple,200€,Amex,8,no,
718,83,hombre,EEUU,triple,200€,MasterCard,5,no,15€
719,54,hombre,Colombia,doble,50€,Amex,3,no,
720,79,hombre,Francia,doble,150€,Visa,4,si,20€
721,85,hombre,Colombia,individual,50€,Amex,4,si,20€
722,72,hombre,Francia,doble,200€,Amex,8,no,15€
723,62,mujer,Colombia,individual,50€,Amex,6,si,5€
724,30,mujer,EEUU,individual,50€,Amex,6,no,10€
725,82,hombre,Alemania,individual,50€,Visa,10,no,20€
726,64,mujer,Colombia,doble,90€,Amex,4,si,5€
727,61,hombre,EEUU,doble,50€,MasterCard,10,no,5€
728,89,hombre,Colombia,doble,50€,Visa,1,no,10€
729,43,mujer,EEUU,cuadruple,200€,Amex,7,si,10€
730,31,mujer,Chile,individual,200€,otra,7,no,10€
731,50,hombre,EEUU,cuadruple,120€,Visa,6,no,10€
732,58,mujer,España,individual,150€,otra,9,no,15€
733,50,hombre,México,triple,150€,MasterCard,10,si,15€
734,32,hombre,España,cuadruple,70€,MasterCard,2,si,
735,47,mujer,Francia,triple,150€,Amex,1,no,10€
736,86,mujer,Italia,triple,50€,otra,9,no,15€
737,34,mujer,Italia,triple,90€,Amex,9,no,
738,63,hombre,Chile,doble,150€,otra,5,si,10€
739,43,mujer,México,cuadruple,120€,Amex,8,si,20€
740,80,mujer,Francia,triple,90€,Amex,8,no,10€
741,73,hombre,Chile,triple,150€,MasterCard,2,no,15€
742,18,mujer,Argentina,individual,200€,Amex,6,no,
743,21,mujer,Alemania,doble,150€,Visa,5,no,10€
744,88,mujer,España,individual,50€,MasterCard,8,no,15€
745,77,hombre,Francia,individual,120€,otra,5,no,15€
746,23,mujer,Alemania,individual,90€,Visa,9,si,15€
747,38,mujer,Francia,doble,120€,otra,7,no,10€
748,72,mujer,Colombia,cuadruple,70€,Amex,5,no,5€
749,63,mujer,Francia,cuadruple,90€,Visa,6,no,15€
750,25,hombre,México,individual,70€,MasterCard,2,no,20€
751,73,mujer,Argentina,cuadruple,200€,Visa,1,si,
752,35,hombre,Chile,triple,120€,Amex,1,si,5€
753,44,hombre,Argentina,doble,150€,otra,4,si,5€
754,26,mujer,España,individual,200€,MasterCard,9,si,10€
755,35,hombre,España,cuadruple,120€,Amex,5,si,15€
756,63,mujer,EEUU,triple,150€,MasterCard,2,si,
757,33,hombre,Alemania,individual,120€,otra,8,si,15€
758,56,hombre,Italia,cuadruple,150€,Amex,8,si,20€
759,59,hombre,Francia,cuadruple,150€,otra,2,si,5€
760,74,hombre,Argentina,doble,150€,Amex,8,no,20€
761,82,hombre,EEUU,triple,200€,otra,3,no,15€
762,88,hombre,Francia,individual,,Amex,4,si,10€
763,68,mujer,Argentina,cuadruple,70€,Visa,10,no,20€
764,73,mujer,Chile,individual,200€,Amex,4,si,20€
765,68,hombre,Chile,cuadruple,200€,otra,6,no,
766,37,hombre,Italia,individual,50€,Visa,6,si,20€
767,59,hombre,Colombia,doble,,Visa,5,si,
768,55,mujer,Alemania,doble,90€,MasterCard,3,si,15€
769,32,mujer,Chile,individual,150€,otra,7,si,10€
770,69,hombre,España,cuadruple,120€,Visa,5,si,
771,67,hombre,Chile,triple,150€,otra,8,no,15€
772,19,hombre,Francia,triple,,otra,7,no,20€
773,63,hombre,Argentina,doble,120€,otra,8,si,15€
774,72,hombre,México,cuadruple,120€,MasterCard,10,no,10€
775,67,mujer,Colombia,cuadruple,50€,MasterCard,3,si,
776,55,mujer,México,triple,50€,Visa,1,si,15€
777,52,hombre,Francia,cuadruple,90€,MasterCard,4,si,
778,65,mujer,Francia,triple,150€,Amex,4,si,10€
779,40,mujer,Italia,triple,90€,otra,9,si,10€
780,47,hombre,Italia,individual,90€,Amex,1,si,10€
781,72,hombre,Argentina,cuadruple,120€,MasterCard,8,si,20€
782,78,mujer,Chile,individual,200€,Visa,10,no,15€
783,82,mujer,Italia,triple,50€,Amex,5,no,5€
784,22,hombre,Colombia,doble,90€,otra,1,si,5€
785,40,hombre,España,cuadruple,,Amex,5,no,10€
786,40,mujer,Alemania,triple,200€,otra,7,si,5€
787,19,mujer,Chile,cuadruple,150€,Amex,2,no,10€
788,29,mujer,Francia,doble,50€,otra,4,no,10€
789,84,hombre,España,cuadruple,50€,Amex,3,si,
790,19,hombre,EEUU,doble,200€,otra,1,si,5€
791,87,mujer,España,individual,50€,otra,10,si,5€
792,39,mujer,EEUU,cuadruple,150€,Amex,7,no,20€
793,46,hombre,Francia,cuadruple,150€,otra,4,no,5€
794,19,hombre,España,doble,120€,otra,6,si,20€
795,38,hombre,Colombia,triple,120€,MasterCard,8,si,10€
796,64,hombre,Italia,triple,150€,MasterCard,3,no,10€
797,64,hombre,Chile,triple,200€,MasterCard,3,no,10€
798,72,mujer,Colombia,individual,,MasterCard,6,si,20€
799,88,mujer,Chile,doble,,Visa,9,no,5€
800,38,hombre,España,doble,,Amex,1,si,20€
801,80,mujer,Italia,triple,70€,Visa,4,no,10€
802,44,hombre,Chile,triple,70€,Visa,10,si,10€
803,70,mujer,Argentina,triple,50€,Amex,6,si,15€
804,84,hombre,Alemania,doble,,Amex,10,no,15€
805,64,hombre,España,doble,50€,Visa,10,no,
806,54,mujer,España,individual,70€,otra,9,no,
807,38,hombre,Chile,doble,70€,Amex,4,no,5€
808,24,mujer,Alemania,individual,50€,MasterCard,2,si,10€
809,45,mujer,Argentina,doble,90€,Visa,2,si,20€
810,82,mujer,España,doble,,Amex,1,no,
811,28,mujer,Argentina,cuadruple,150€,Visa,8,no,20€
812,49,hombre,EEUU,cuadruple,90€,Amex,1,si,20€
813,64,mujer,Alemania,doble,,Visa,1,no,20€
814,22,hombre,EEUU,individual,200€,Visa,8,no,15€
815,31,hombre,México,cuadruple,,Visa,10,si,20€
816,41,hombre,Italia,cuadruple,70€,MasterCard,4,si,5€
817,64,mujer,México,triple,150€,Amex,6,no,10€
818,74,mujer,Italia,individual,50€,MasterCard,7,no,5€
819,29,hombre,Alemania,cuadruple,200€,Visa,7,no,15€
820,42,mujer,México,doble,90€,Amex,3,si,10€
821,50,mujer,Argentina,individual,90€,otra,4,si,10€
822,85,hombre,Alemania,cuadruple,150€,otra,7,no,10€
823,60,mujer,Alemania,individual,50€,otra,6,si,15€
824,22,mujer,Argentina,individual,200€,Visa,10,si,20€
825,77,mujer,Chile,cuadruple,70€,otra,2,no,
826,89,hombre,Chile,cuadruple,150€,Amex,3,si,
827,67,mujer,Colombia,triple,50€,Amex,4,no,20€
828,35,hombre,Chile,triple,50€,Amex,5,si,
829,26,hombre,EEUU,triple,200€,Amex,2,no,15€
830,65,hombre,Chile,individual,120€,otra,10,no,
831,77,hombre,Francia,doble,,otra,2,si,15€
832,84,mujer,Argentina,triple,70€,Visa,9,no,15€
833,87,hombre,Alemania,triple,120€,MasterCard,8,si,15€
834,69,mujer,Francia,individual,90€,MasterCard,9,si,10€
835,68,mujer,Alemania,individual,90€,MasterCard,10,no,20€
836,25,mujer,Alemania,triple,90€,Visa,1,si,20€
837,63,mujer,Alemania,doble,,Visa,5,si,15€
838,64,mujer,Colombia,cuadruple,150€,MasterCard,9,no,
839,73,mujer,Alemania,cuadruple,,MasterCard,2,no,5€
840,62,mujer,España,cuadruple,90€,Amex,8,si,10€
841,26,hombre,Chile,triple,200€,otra,3,si,
842,20,mujer,España,doble,200€,Amex,7,si,10€
843,76,hombre,Italia,cuadruple,,Visa,5,si,10€
844,25,hombre,México,cuadruple,120€,MasterCard,2,si,15€
845,25,hombre,México,cuadruple,120€,Visa,8,si,5€
846,25,hombre,España,doble,120€,otra,4,si,15€
847,29,mujer,Francia,doble,200€,otra,3,no,5€
848,52,mujer,Alemania,individual,90€,Amex,9,no,20€
849,26,mujer,Francia,doble,90€,Amex,8,si,10€
850,83,mujer,Argentina,triple,,Visa,7,si,20€
851,77,mujer,Chile,cuadruple,70€,Visa,1,si,10€
852,74,hombre,Alemania,cuadruple,,otra,10,si,15€
853,74,hombre,Chile,triple,70€,otra,8,si,15€
854,29,hombre,Francia,triple,50€,Amex,10,no,20€
855,43,hombre,Colombia,cuadruple,,Amex,9,no,20€
856,72,hombre,Chile,doble,,Amex,5,no,5€
857,58,hombre,Francia,cuadruple,200€,otra,3,si,5€
858,81,hombre,México,cuadruple,70€,Visa,9,si,15€
859,55,hombre,Italia,cuadruple,150€,Amex,4,si,10€
860,29,hombre,EEUU,triple,90€,otra,10,no,15€
861,42,hombre,Francia,individual,90€,MasterCard,5,si,10€
862,57,hombre,EEUU,individual,,otra,2,no,15€
863,44,mujer,México,individual,90€,MasterCard,10,si,20€
864,43,mujer,Alemania,triple,,Amex,8,no,15€
865,51,mujer,Alemania,doble,150€,Visa,8,no,
866,46,mujer,México,doble,200€,Visa,4,no,20€
867,86,hombre,Francia,individual,70€,otra,5,si,5€
868,45,mujer,Francia,individual,,Amex,7,si,15€
869,64,mujer,Italia,cuadruple,120€,MasterCard,3,no,
870,79,hombre,México,individual,70€,MasterCard,6,si,5€
871,53,hombre,Italia,individual,50€,Amex,1,si,15€
872,70,hombre,Argentina,triple,,MasterCard,2,no,20€
873,85,hombre,Francia,doble,,Amex,6,si,15€
874,44,mujer,México,triple,50€,Visa,4,no,
875,33,hombre,Italia,individual,,otra,6,si,5€
876,37,hombre,México,triple,150€,Amex,2,si,20€
877,84,hombre,España,cuadruple,70€,Amex,6,no,10€
878,81,hombre,Colombia,doble,50€,Amex,10,si,10€
879,20,mujer,España,doble,120€,otra,6,si,
880,83,mujer,España,doble,150€,Visa,7,si,
881,76,hombre,México,triple,,MasterCard,9,no,5€
882,37,hombre,EEUU,doble,120€,Visa,6,si,10€
883,83,mujer,México,individual,90€,Amex,10,si,5€
884,36,mujer,México,individual,70€,otra,5,no,
885,80,hombre,Chile,triple,120€,otra,6,si,15€
886,27,hombre,España,individual,90€,Amex,3,no,
887,43,hombre,Alemania,individual,120€,Visa,3,si,15€
888,76,mujer,Argentina,individual,50€,Amex,10,si,5€
889,25,mujer,México,doble,120€,otra,7,si,10€
890,36,mujer,Chile,triple,150€,otra,5,no,20€
891,41,hombre,Francia,individual,150€,MasterCard,10,si,10€
892,34,hombre,Italia,triple,50€,Visa,7,no,5€
893,83,hombre,Chile,cuadruple,50€,otra,4,si,15€
894,41,hombre,Colombia,cuadruple,200€,Visa,8,si,
895,22,hombre,México,triple,90€,otra,8,no,15€
896,88,mujer,Argentina,cuadruple,120€,Visa,7,no,
897,78,hombre,Italia,cuadruple,90€,Amex,5,si,10€
898,23,hombre,Argentina,cuadruple,70€,MasterCard,9,si,
899,64,mujer,Argentina,cuadruple,90€,MasterCard,7,si,20€
900,85,mujer,Italia,triple,150€,MasterCard,4,si,10€
901,65,mujer,EEUU,doble,50€,MasterCard,5,no,10€
902,69,hombre,Alemania,individual,90€,Visa,10,si,5€
903,87,mujer,México,cuadruple,90€,Visa,6,si,5€
904,57,mujer,EEUU,triple,,otra,9,si,
905,61,mujer,Italia,triple,200€,otra,7,no,
906,83,hombre,México,individual,120€,MasterCard,7,si,10€
907,82,mujer,Italia,doble,70€,MasterCard,6,si,20€
908,19,mujer,Italia,triple,120€,MasterCard,4,si,10€
909,51,hombre,Francia,triple,70€,MasterCard,8,no,15€
910,58,hombre,Chile,doble,150€,Visa,3,no,10€
911,21,hombre,EEUU,individual,120€,Amex,6,no,20€
912,73,mujer,Francia,individual,70€,Visa,2,si,5€
913,57,mujer,EEUU,cuadruple,120€,Amex,5,si,
914,61,hombre,Chile,doble,,otra,7,no,20€
915,28,mujer,Alemania,individual,50€,Visa,4,si,10€
916,21,hombre,Alemania,cuadruple,90€,Visa,2,no,5€
917,30,mujer,Francia,triple,150€,MasterCard,5,no,5€
918,86,mujer,Chile,doble,50€,MasterCard,3,si,
919,65,hombre,Alemania,cuadruple,70€,Visa,8,si,10€
920,71,mujer,España,triple,150€,Amex,1,no,15€
921,43,mujer,Italia,individual,90€,otra,6,no,10€
922,21,mujer,Argentina,individual,50€,Visa,4,no,15€
923,34,mujer,EEUU,triple,,otra,2,si,
924,66,mujer,Francia,triple,70€,MasterCard,6,no,15€
925,53,hombre,Francia,triple,70€,Visa,1,no,5€
926,23,hombre,Francia,doble,90€,Visa,2,no,5€
927,49,mujer,España,triple,150€,MasterCard,4,no,15€
928,78,mujer,Argentina,individual,,otra,10,no,20€
929,22,hombre,Italia,triple,200€,otra,9,si,15€
930,37,hombre,Colombia,individual,200€,Visa,8,no,15€
931,84,mujer,EEUU,cuadruple,200€,otra,5,si,15€
932,78,hombre,España,individual,150€,Visa,5,no,10€
933,85,mujer,EEUU,doble,120€,Amex,5,si,15€
934,45,mujer,México,triple,50€,otra,4,no,
935,23,mujer,Chile,cuadruple,120€,Amex,4,si,20€
936,18,hombre,Argentina,individual,,otra,10,si,
937,58,mujer,Argentina,individual,200€,MasterCard,5,no,15€
938,81,hombre,México,triple,150€,otra,6,no,
939,39,mujer,Colombia,individual,,otra,9,no,10€
940,73,hombre,Francia,cuadruple,150€,Visa,3,no,5€
941,84,mujer,Italia,individual,120€,MasterCard,10,si,15€
942,26,mujer,Chile,triple,120€,Amex,2,no,15€
943,26,hombre,Colombia,cuadruple,50€,Amex,5,si,5€
944,51,hombre,Argentina,triple,50€,MasterCard,8,si,10€
945,59,mujer,Argentina,triple,70€,Visa,3,si,15€
946,31,mujer,Chile,cuadruple,70€,Amex,5,si,10€
947,22,hombre,Francia,cuadruple,150€,otra,4,no,5€
948,72,mujer,Alemania,cuadruple,,MasterCard,3,si,
949,28,hombre,Italia,individual,70€,MasterCard,10,si,20€
950,48,hombre,Argentina,triple,,otra,1,no,15€
